,content
4305,"quá rộng_rãi thoáng mát , chất_lượng cũng khá ngon"
4306,hình_ảnh nói lên nha mẹ 
4307,"salad tươi ngon , hộp giấy nên cảm_giác lạ_lạ"
4308,"món đá xay dễ uống , mát lịm ... ưa nhất khoản là có không_gian riêng đọc sách chỗ vui_chơi bé ..."
4309,"thấy mạng tràn_ngập bánh kem chuối nên cũng k nằm cuộc phải mua em ăn thử . thực_sự thì cũng không ngon như lời đồn . bánh đặt khay nhựa nhìn đẹp_mắt , cốt bánh là bông lan , giữa là sốt chuối , tuy_nhiên thì cũng k có nhiều lắm . bánh mềm , ẩm , ăn thử cho biết thì cũng_nên mua , còn nếu bảo mua lại thì chắc là không . gía là / bánh . mua nhiều thì được giá mềm hơn ."
4310,"quán ngon nhất phố ao sen nha bạn , quán được mệnh_danh là quán có tâm nhất luôn khách_hàng ăn bún mà thiếu thì sẽ không tính tiền thêm nên không_thể có chuyện khách ăn bún thiu dc . ngoài_ra trà đá tự_phục_vụ sẽ được miễn_phí , nước được làm nước_máy lọc cấp kangaroo đi hà_nội ko làm trà đá nước nước_máy đun sôi là hp lắm rồi . !"
4311,"quá ưng nhà hàng này luôn . đồ ăn siêu ngon , giá mềm mà các bạn nhân_viên lại siêu đáng yêu nữa . các món được tẩm ướp và thay đổi vừa với khẩu vị người nên vô cùng dễ ăn , tuy_nhiên cũng không làm mất đi hương vị của . mê nhất là bánh bao , vỏ mềm , nhân thơm , nêm nếm rất đậm đà mà giá cũng xinh ý . đã ăn ở lần rồi mà vì mải ăn quá nên chụp ảnh còn chưa đẹp chứ ngoài đồ ăn siêu bắt mắt"
4312,"nhân_dịp có giảm_giá nên đặt , suất cơm bì chả trứng ốp chỉ còn , siêu đầy_đặn , ngon , nóng_hổi , sạch_sẽ đóng_gói cẩn_thận , nói_chung rất ưng_ý ."
4313,"chỗ bán bún_thang lẫn xôi gà.bún thang ăn khá ngon dù chưa bằng số quán phố cổ đc nhưng nước_ngọt , đậm_đà , thịt k bị bở.xôi gà dẻo , thơm có gà xé đựng đĩa nho_nhỏ e rằng ăn khoẻ phải suất mới đủ no "
4314,"bên peppe bạch mai thường_xuyên có chương_trình mua tặng khách mang về nên bạn đến mua mang về ăn thử . mua bánh tặng bánh khá hời giá . - pizza hải_sản : nhân đầy , ăn hơi mặn nhưng nhiều cheese nên ngon . - pizza bò cay : khá thích sốt bò pizza rất ngon vừa ăn . - pizza maggarita : pizza phần xúc_xích hơi cháy mỡ nên hơi ngấy . nhưng nhìn_chung có_thể chấp_nhận được - pizza thanh cua : không quá ngon_miệng sốt hơi ngấy"
4315,"ko ăn_giá dc , ăn vào là nôn . đã nhắn_tin ghi_chú điện_thoại vẫn cố_tình bỏ vào . giờ bỏ hết bánh ko ăn dc . tốn lãng_xẹt làm_ăn ko có mắt mà nhìn ?"
4316,cơm gà teriyaki
4317,"tào_phớ sữa_đậu_nành ngon mát . nhưng ăn gần hết mới thấy khá là bẩn hic . bà chủ dùng tay lấy nguyên_liệu : ( ( thạch đen trơ , không che_đậy . thìa múc khá bẩn , đập thẳng ngoài nồi . tào_phớ nước đường thì nước đường cũng không sạch ."
4318,"hôm đến quán không được ok cho lắm . chủ quán bảo nhân_viên nghỉ nên ko đủ nhân_viên chạy_bàn . lẫn_lộn , chờ rất lâu đồ_ăn vẫn chưa lên . khách đến sau thì lên đồ_ăn trước làm quyết_định đi về . xuống quầy thanh_toán thì chủ xin_lỗi không lấy tiền . không thích nên ngồi nán lại bảo thôi lên đủ menu giúp . nhà xa nhưng muốn đến ăn thử . vị khá kì . không ăn hết được . nhưng cá_hồi thì ăn vừa_miệng . có order thêm chanh xả nhưng ko có xả nên chỉ đem ly chanh đá . tuy_nhiên tạm hài_lòng dịch_vụ anh_chị chủ cố_gắng khắc_phục làm hài_lòng khách . có_thể quán chưa điều_hành tốt nhưng thái_độ phục_vụ ổn sẽ sắp_xếp quay lại ủng_hộ . giá là gần sau khi được giảm lý_do dịch_vụ chưa tốt ."
4319,"cơm dẻo dẻo , bò xào mềm , củ luộc chấm muối_vừng thơm dễ ăn . thi_thoảng healthy đổi món khá thú_vị . ưng bụng "
4320,đồ_ăn ngon . nhân_viên phục_vụ nhiệt_tình
4321,tưởng giảm_giá thì sẽ giảm chất_lượng số_lượng mà vẫn ngon như_thường . sốt thơm mỳ luộc mềm ko bị khô . . sẽ ủng_hộ dài_dài : )
4322,"không_gian đẹp , thoáng_đãng . smoothie trình_bày đẹp nhưng ko ngon lắm . bơ xoài hơi nhièu sữa . còn xoài , dứa , chuối dâu thì ko thấy dâu , xoài gọt sát nên smoothie có rất nhiều xơ . ăn rất khó_chịu"
4323,"quán hơi nhỏ hơn so tưởng_tượng nhưng không_gian yên_tĩnh cách bài_trí đơn_giản mà đẹp . nhân_viên quán thân_thiện mà lịch_sự . chị quán nước trông xe là khó_chịu . đồ uống thấy menu hơi ít . gọi trà_hibiscus , chưa uống nhưng_mà thấy chua_chua chắc vị . bạn gọi trà thạch_lựu mà_lại không thấy thạch : ) ) bạn còn lại gọi cà_phê thì khen ngon . thích nhất là nơi nhìn đều thấy sách . quán yên_tĩnh nên hợp học_hành tâm_sự thủ_thỉ . hôm_nay đứa đều nghèo mà_lại tìm được quán đúng là may_mắn giá thì mềm mà quán lại dễ_thương . p.s : gửi xe 5k ạ ."
4324,"quá đắt đĩa lòng xào dưa bé tí đếm máy ra dc lòng bé tí còn lại là dưa giá , k thể tin nổi đi nhậu cũng nhìu nhưng quán thì đắt quá_đáng quá lần không"
4325,"quán cạnh cửa hàng tạp hóa có miến lươn trộn đầy đặn và khá ngon . lươn giòn không bị tanh , gia vị vừa miệng . bún miến ngan , mọc , phở bò ăn ở mức tạm ổn , nước dùng nóng hổi nhưng vị không quá đặc sắc vì kiêm nhiều thứ quá . quẩy bữa giòn bữa không . hàng nhỏ ít chỗ ngồi . bà chủ tóc ngắn niềm nở vui tính phục vụ nhanh . cảm thấy yên_tâm vì độ sạch sẽ của quán , mình ăn thường xuyên vì nhà gần chợ . quán không bán tối muộn . thường khoảng là hết đồ rồi ."
4326,"mua thứ ( ) mua về nên không để_ý cốc pha xong như , có chương_trình thêm topping free nhưng nhân_viên không đề_cập gọi size l tức_là có topping nhưng lượng topping khá ít như hình ( hình chưa uống ) ."
4327,"nếu đã từng ăn bún ốc sài_gòn thì không nên bước . không có đặc_sắc mà giá bị cao hơn . hàng_loạt quán ăn_theo xung_quanh ( quẩy , bò chả ... ) . hôm ăn tô bún ốc lèo_tèo con teo_tóp , tô bò chả hết . chả quá dở ."
4328,"địa_điểm : quán hơi bị khuất tầm nhìn , hơi vào ngõ tẹo . quán thường bán chiều_tối đêm thì phải . không_gian : quán chỉ có gian nho_nhỏ bát bún_bò thập_cẩm cũng siêu đầy_đặn : móng , tiết , mọc , thịt . nước dùng khá thơm ngọt chứ không ngọt mì_chính nên ăn ngon hơn hẳn . suất thì có giá mà ăn xong lần cũng húp sạch nước . no căng bụng . là fan trung_thành quán luôn nên cứ lâu_lâu không ra ăn lại bị thèm"
4329,cơm_ngon giá tốt gói đẹp
4330,"thích nhất_quán ! bài_trí đẹp , nhẹ_nhàng uống ngon !"
4331,"đồ_ăn quán khá vừa_miệng , món cũng khá ngon . nhưng có món chả cốm hơi ít cốm , nên bị mất điểm tí_xíu phục_vụ nhanh , nhiệt_tình tổng thiệt_hại là / người"
4332,"chất_lượng thật_sự , đọc rv qua quán test thử• , thử hoa_quả dầm sữa_chua dẻo ngon quá mua luôn cốc mang về mời ae cơ_quan . cảm_ơn cô chủ quán bán hàng có tâm ☺☺"
4333,"đang có chương_trình ăn lẩu tok tặng gà ăn gà tặng khoai nên hôm_nay đến thử ăn quán .  đồ_ăn : gọi gà rán ngọt chọn khoai_tây chiên mật_ong ( được tặng kèm ) miến trộn . gà rán ngọt ngon , sốt hơi ngấy chút , thịt gà không bị bở rất mềm . miến trộn ăn khá cuốn , có_thể gọi chống ngấy . khoai chiên mật_ong giòn , đẫm sốt . khi ăn được chị nv mang ra nước_lọc , loại sốt salad rau ăn kèm free   không_gian : có tầng , sạch_sẽ , rộng_rãi mát_mẻ . cũng : ) )  về nhân_viên : thái_độ nhân_viên quá hoàn_hảo . tư_vấn khuyến_mãi , món ăn , chú_ý khách chút . lúc đi ăn buổi trưa cũng vắng , chỉ có bàn nhưng nhân_viên không lơ_là bàn . đặc_biệt anh mặc áo trắng , không biết có phải là quản_lí không , liên_tục ra dắt xe lại khách , có xe bị rơi áo chống nắng cũng nhặt lên gấp gọn_gàng để lại lên xe khách  sẽ quay lại"
4334,"sườn bò mềm thấm gia_vị ngon lắm luôn ý ạ .  . không_gian thoải_mái , nhân_viên phục_vụ nhiệt_tình . đặc_biệt còn nhiều chương_trình giảm_giá hấp_dẫn nữa , đi đông mà được sử_dụng nhiều combo ưu_đãi bất_ngờ"
4335,"tối ghé qua làm tô bún ốc giò bò . tô bún có giá 40k . trông tô bún nhiều lắm ăn no luôn . ốc , giò thịt bò . nhưng ốc ăn hơi sạn có nhiều con_con . còn giò ngon lắm , ăn giòn sần_sật . thịt bò tái được thái mỏng chín vừa tới . thêm ớt chưng cay cay ăn rất ok . rổ rau_sống cũng ngon trông sạch_sẽ . chú bán hàng vui_tính nhiệt_tình lắm . có bún riêu , bún cá ... chỉ"
4336,"xôi dẻo , chả kho thịt kho đậm_đà đặc_biệt thịt mềm ngon rất dễ ăn mà không bị ngấy . ăn kèm hành khô dưa_góp đúng chuẩn . sẽ ủng_hộ quán dài_dài ."
4337,"bánh rán mặn , ngọt : ngõ - khu tt * * * thọ_lão , phố , q . * * *  k . xưa toàn ăn bánh_rán cô bên ý , mà thấy cô nghỉ không bán hàng mà buồn thực_sự . nghe tin cô chuyển nên phải phóng ra kiểm_chứng luôn , chuẩn là thật , vẫn hương_vị ‍♂️ . thích nhất bánh_rán mặn ( ) cô ý , chỉ ăn_ở thui . vỏ bánh mỏng , bột chiên vỏ ngoài giòn mà bên trong mềm lắm . nhân bên trong bao_gồm thịt băm , hành_tây , mộc_nhĩ đơn_giản mà vừa_vặn cực_kì luôn . mà không chấm nước_mắm , chấm tương_ớt cũng đủ ngon rồi ‍♂️ . mở ra vẫn còn nóng_hổi vừa thổi vừa ăn mê_mệt luôn . còn bánh_rán ngọt ( ) nhân đỗ xanh , ngoài chỉ có rắc lên vừng . không có ấn_tượng lắm . vẫn thích bánh_rán mặn cô hơn ý "
4338,"đặt phần cơm ăn chống đói , được đóng_gói gọn_gàng sạch_sẽ , gà to dã_man hết nửa hộp , cơm cùng nhiều , topping thêm cũng vừa_miệng mà giá_cả phải_chăng"
4339,nhân_viên vui_tính dễ_thương ... quán rộng_rãi thoáng mát : ) ) đồ uống ngon
4340,"menu đa_dạng . bún thịt nướng có dưa_góp , rau_sống , thịt mềm , ướp rất ngon , bát đầy_đặn . bác bán hàng rất thân_thiện . xe bên ngoài bác trai sợ mất còn dắt giúp . nhất_định sẽ quay lại thử hết menu . # búnthịtnướng # búnbònambộ"
4341,"vịt_cỏ khoing còn xa_lạ người nữa , khá là quen_thuộc . là quán ăn thì hồi sinh_viên . quán nằm ngõ cạnh trường học_viện quân_y rất dễ tìm . không_gian quán khá rộng_rãi thoải_mái . hôm_qua đi làm về muộn mua nhà người gồm vịt quay , canh măng , bún . tổng bill . ăn no . thịt vịt thơm ngon , ngấm giòn . nước_chấm có hơi cay nhưng đúng điệu rất ngon . canh măng cũng rất ok . rau thì thấy hơi ít không tươi lắm có_thể trời nóng rau nhanh hỏng . thi_thoảng vội muốn ăn vịt lại mua quán nhỏ . nhưng lần đều thấy chỗ vẫn ok nhất . chắc_chắn sẽ quay lại ủng_hộ quán"
4342,"tuy lúc đầu đến tìm chỗ đỗ xe_hơi khó là cuối tuần nên đông khách . có rất rất rất nhiều đồ_ăn . món khai_vị , món tráng_miệng . lựa_chọn thoải_mái . nhìn món cũng hấp_dẫn . tuy_nhiên hãy ăn_uống có ý_thức hơn , tránh đồ_ăn thừa bàn phục_vụ rất tốt . liên_tục dọn bàn nên cảm_thấy rất sạch_sẽ ."
4343,"gà tần hầm mềm , thơm ngải_cứu . gà có thịt ăn ngon chứ không phải gà trơ xương không có . ăn gà chủ quán con gắp gà ra , đĩa đựng xương , gói gia_vị mỳ ăn kèm . mỳ không phải hảo hảo , mycoem lúc bán nấu thấy qua . loại mỳ ăn không bị mặn như hảo hảo . gói gia_vị cũng k quá mặn nữa . cá_nhân thích ăn mỳ hơn chỗ mỳ gà tân_ăn cùng hảo hảo . quán sạch_sẽ nhưng bé nên xe_hơi khó_khăn ."
4344,rất ưng quán ạ vừa sạch_sẽ lại có tâm giá_cả thì rất hợp_lý . dù mua về hay ăn quán đều hài_lòng vừa ngon vừa sạch lại thân_thiện tầm giá khá không phải quán cũng đạt được . 
4345,"đọc review mn khen ngon nên đặt thử mà chán . cốt bánh lỏng lỏng , kiểu kết_cấu bánh rỗng , ăn chả có cảm_giác là đag ăn bánh mềm mịn xốp . thà bạn làm bánh bé hơn nhưng có phần cốt bánh ngon còn hơn . nchung là bánh quá bt"
4346,"giờ đã hiểu quán vắng uống bình_thường mà giá_như  chỉ được decor cũng được , sáng_sủa , mà tranh treo thương_hiệu còn sai chính_tả . gọi trà tắc xí muội ko thấy trà_mấy , uống y_như là nước quất ô_mai / cốc vỉa_hè cheese thì phô_mai khoai_tây lắc hay ăn đen thì khá là cứng . nhìn_chung là chỉ đc service còn lại thì hơi chán cốc size m đã 104k rồi ."
4347,"quán nho_nhỏ nằm đường cũng nho_nhỏ luôn , tuy_nhiên không_gian cũng khá thoải_mái , bàn_ghế thấp nhưng sạch_sẽ  đi người gọi phần thập_cẩm ( team ăn mạnh ) , là ăn muốn ná thở luôn phần thập_cẩm thường có thịt bò , thịt heo , bao_tử , nầm ... loại rau củ ăn kèm quán sẽ mang bếp có lót giấy_bạc chén bơ ra khách nướng , nếu giấy_bạc khét có_thể xin thay miếng mới . theo quán ướp ngon , nướng lên ăn vừa_miệng . có gọi thêm bánh_mì ăn kèm nữa  đảm_bảo là no lăn lê_bò lết luôn nhe giá_cả theo khá ok , anh phục_vụ cute phô_mai que , xin có "
4348,quá ngọt ， thêm rất nhiều đá rồi vẫn ngọt_lịm đường
4349,"pizza ’ s * * * chuyển qua bên hôm_nay mới đi ăn lại . không_gian mới đẹp hơn . tầng outside view đẹp nhưng tiếc là lạnh nên chọn ngồi . đồ_ăn chưa hết ngon . nhất_là mỳ có_thể chọn loại pizza cái . có_thể vừa ăn vừa xem bạn làm bánh , rất hấp_dẫn nhân_viên tư_vấn nhiệt_tình ."
4350,cảm_ơn sự chu_đáo nhiệt_tình nhà_hàng cũng ngon lắm ạ
4351,"hôm bữa được bạn rủ đi ăn , thấy ngon nhất_là trà sữa còn nhg món khác ko đặc_sắc . ăn điểm vị_trí đẹp , sạch_sẽ có tiếng_tăm nên đông khách ."
4352,"nắng lên đi ún tí trà mátttt định rẽ mua bánh gà xong tiện qua thì ngồi luônn ( bên cạnh là ) * vị_trí : ngay đầu ngõ hồng mai nên tiện qua mua bánh gà thần_thánh * không_gian : chỉ có tầng , khá nhỏ hic : ( nhưng rất thoángggg * nhân_viên : cực nhanh_nhẹn : > > > * chất_lượng : ờ thì cũng như chỗ khác thui không có đặc_biệt nhìn_chung thì bạch mai không có đặc_biệt hơn so dingtea chỗ khác là mấyyy ❤"
4353,"được ngày kha_khá nước_chấm thì bánh_đa_nem cùng , nước muối củ_cải chảy ra ướt_sũng tn thì còn ăn_uống nữa . bán hàng càng_ngày_càng vớ_vẩn khi giá thì tăng lên "
4354,"gia_đình có khách phương xa đến thăm , tiếp_đãi quán thấy rất ok , đồ_ăn ngon , giá_cả hợp_lý , thuê phòng vip không_gian riêng_tư yên_tĩnh"
4355,"thg hay uống trà sữa trân_châu trắng , thấy sales nên uống thử trà sữa nướng quả_thật ứ ngon ^ ^ vị khó tả , tóm_lại ko thấy trà . sau vẫn quay lại món cũ . vẫn vote quán nhiều vẫn thik trà sữa trân_châu trắng quán ."
4356,"quán k gian kém , phục_vụ bth , kiểu hơi giang_hồ : ) ) nhưng vô_tình hôm chót vào nên cứ gọi đồ_ăn . hoá_ra đồ ngon phết , cơm đảo gà có sốt mê_li , r có cơm đảo sườn ngon k kém . gà k lối_thoát con , đắt nhưng xôi giòn dù lâu . mẹt gà k nhớ giá có lòng mề xào dứa , gà luộc , gà nướng , gà nộm , dưa_chuột ng ăn ms hết . nói_chung chủ quán mà cải_thiện đc không_gian vs phong_cách phục_vụ thì sẽ quay lại ."
4357,lần gọi đồ_ăn ngon vừa đủ no nên mới gọi lại . thế_mà lần thịt gà quá khô gần như cháy phần ngoài . sốt_teryaki ngon rau củ luộc sạch_sẽ . đang ăn_theo chế_độ nên lần trước có cân phần gà là 100g mà lần chỉ có ? nói_chung là chất_lượng không đông đều suất ăn cũng không bằng nhau mà vẫn từng tiền nên không biết nên order lại không .
4358,"ngày dịch gọi hôm mưa_gió mà bánh ship nhanh , đóng_gói cẩn_thận vẫn còn nóng_hổi ."
4359,"mua chè dừa dẻo bánh chuối shop . chè dừa dẻo thực_ra là chè thạch dừa non , mẹ ăn xong bị đau bụng luôn . bánh chuối ship chiều tủ_lạnh , sáng hôm sau bỏ ra ăn thì phát_hiện đã mốc đen . bán hàng không có tâm , không quay lại !"
4360,"nhân_dịp cuối tuần đi xả_hơi rủ nhau vào ăn . không_gian bài_trí đẹp , nhân_viên cũng ổn . khi đến cũng không đông lắm . cũng ăn_ở gogi lần rồi , thấy giá_cả cũng ổn , mua combo mua voucher là ổn nhất . đồ_ăn đa_dạng , thích nhất là nhân_viên tận_tình . rau xanh_tươi sạch , gọi thịt bò , bò là chính , kết_thúc tráng_miệng bánh flan thơm mềm . m rất thích ăn_ở , lâu_lâu có dịp đi chơi lại ghé ăn ."
4361,"thích quán lần đầu luôn , xuất cơm rất đẹp_mắt đầy_đủ 殺"
4362,"lần đầu tiêu riview quán thất_vọng rất nhiều : khi đi đã đặt bàn trước , đặt ăn ngày fanpage có link đặt bàn messenger được gửi mã về - đến quán , khen quán có địa_chỉ khá dễ tìm - vào quán được chỉ lên tầng , không_gian quán bình_thường , cảm_giác hơi chật không_gian bí ( điểm trừ ) - nhân_viên hướng_dẫn gọi món , gọi lẩu buffet , ( có_thể gọi lẩu theo món cũng được ) , minh đi người_lớn em bé có nhắc vụ đặt trước được gửi mã rồi , nhân_viên kiểm_tra lại ns khi thanh_toán thì mới dùng mã . - gọi buffer xong nv k hỏi uống , gọi tổng bữa là , giá pepsi là / . sau xem_lại menu quán có buffer coca nữa nhưng nhân_viên không giới_thiệu ( điểm trừ ) - đồ lên khá lâu , có_lẽ chờ khoảng hơn đồ mới mang ra đủ cơ_bản lẩu : nước dùng , khay gà thái nhỏ , khay sụn gà , khay chỉ bò mĩ , bò mỹ to to như hình tặng kèm . , xiên gồm xien sủi cảo xien viên tròn tròn . rau có ngô ngọt , rau_muống cải thảo , nước_chấm , nước_ngọt thì gọi lần mới mang ra . chờ thêm k thấy mang thêm hỏi buffet mang hết chưa , bạn ậm_ừ trả_lời đã hết , hỏi không có khai vị— > trả_lời moi hết rồi , thông_cảm , ok dù không báo trước , hỏi mới ns . rồi nói đồ không mang đủ , thì nói rằng bình_thường không gọi nên không mang , gọi mới mang , . ô_hay , choin buffer chứ không gọi món , kêu mang hết đủ suất buffet ra . rồi lại thêm mang đợt nữa , vẫn thiếu : ) ) ) , váng đậu , đậu_phụ , nấm , bò ống tre , ngô non , khoai , nấm phải hò nhiều đợt nữa thì mang đồ thêm nói_chung là lâu làm thấy ức_chế , vừa ăn vừa chờ , bò tre hơi mùi , ngô bắp thì tươi ngọt , nước dùng cũng được , thịt cũng không chê , nấm không mang dù nhắc làn , váng đậu ns hết-ok , đậu_phụ hò mãi . kêu chỉ bò mĩ lại cứ mang bắp bò , hỏi thì mới ns chỉ hết . ag ns trước là nhân_viên cũng được nhiệt_tình , không thái_độ nhà_hàng phục_vụ thực_sự chậm , mà tầng có bạn ý , sau thấy bàn sau cũng không thấykhai vị , cũng chả thấy ns vs khách_hàng : ) ) ag . lúc ăn cũng không thấy tặng combo món người mê , cũng quên : ) ) ( điểm trừ ) . - ăn xong tráng_miệng quán là dưa hâu : như hình chụp , dưa chắc trẻ tập ăn dặm ăn bạn ag , thái bé quá_thể đáng , lẽo tẽo miếng : ( ( ( ( thấy buồn_cười quá nên quả tráng có chụp lại xem ) ( điểm trừ ) - mất cảm_xúc ăn nên nghỉ sớm hợn so bình_thường , xuống nhà thu_ngân thanh_toán , bạn đi cùng thanh_toán sau xem thì tính đúng tiền , không giảm , không khuyến_mại luôn , sốc thêm phát nữa , minh gọi điện thì quán trả_lời : nhắc bạn mới giảm , thu_ngân không biết ( thu_ngân thấy lúc hình_như là anh quản_lý ) , ag câu trả_lời , fanpage nhà_hàng bài cung chạy chương_trình giảm , tháng nữ_quyền , giảm ngày blabla ... khi thu_ngân là nhân_viên mà không nắm được chương_trình , cũng không hỏi khách_hàng có mã không , mà nói không biết đá là điều vô_lí rồi . bởi_vì chả nhẽ không giảm bất_kì khách khi vào ăn hay mà không biết ( quả sốc phát nữa cách trả_lời ) , có ns cách trả_lời nhà_hàng thì được bạn giải_quyết chuyển_khoản lại or đến quán lần sau , chon chuyển_khoản nhà tới khoảng hơn , minh gui tt ck nhưng cũng không xác_nhận va ngày hôm sau cũng không thấy , dù số tiền không nhiều nhưng thể_hiện cách làm_việc nhà_hàng vừa chộp_giật vừa không có chuyên_nghiệp ( điểm trừ ) - sau chắc_chắn không còn lần nữa . vốn di không phải quá khó_tính có nhiều nơi có không ưng nhưng cân_bằng or hài_lòng nhiều hơn or không cần review k phải là thói_quen . nhưng thật_sự ăn là hôm tâm_trạng tụt cảm_xúc hơn , thất_vọng quá nên viết lại bạn rút kinh nghiêm"
4363,"đồ dimsum chuẩn vị , rất thích há cảo tôm xíu_mại gà - nước lẩu thì không có đặc_biệt nhưng được_cái đồ nhúng lẩu tươi - nhân_viên chăm_sóc khách chu_đáo , thấy rơi đũa là chủ_động đưa đũa mới , bàn hết đồ thì ra mời có ăn thêm không !"
4364,"đồ_ăn chán , ko cay cấp cũng như cấp . bò mỏng_dính , hộp thì bé tý lại là hộp xốp quá độc_hại sao , quá chán , vẫn thíc ăn sasin phạm tuấn tài hơn . nên next khỏi list đồ_ăn ."
4365,"đến quán lúc tối mà đã đông_nghẹt người , phải để xe chéo chéo ra chỗ ngã xong đi bộ lại quán nhân_viên khá nhanh_nhẹn , chủ nhiệt_tình , định gọi đồ ra trước nhưng chị cứ nhất_định đợi bạn đến rồi mới bê đồ ra : ) ) ) ) chị giới_thiệu cuống tim giòn giòn , ăn ngon lắm nước dùng chua_chua , nước_chấm cực ngon , làm tăng vị_giác thèm ăn có set đồ kèm theo gói ăn cùng là bún , chuối , dứa cắt lát , rau_sống bánh_tráng lũ uống thêm chai bia , tính ra là đứa , cũng không phải rẻ nhưng chất_lượng thấy chấp_nhận được"
4366,"view đẹp , không_gian ấm_cúng , giá vừa_phải"
4367,"gần cơ_quan , bị nghiện tuần cũng phải chích tà xữa , nhân_viên thân_thiện , không_gian sạch_sẽ , "
4368,"đi qua rất nhiều lần nhưng là lần đầu_tiên vào . thực_sự rất thích đi nhiều địa_chỉ rồi nhưng cộng để lại ấn_tượng sâu_sắc . vẫn là phong_cách vintage kiểu năm trước , thích nhất là quán kiểu như . đi ngày_mùa thu se_se lạnh nên cảm_giác cực_kì thích . view thì khỏi phải bàn rồi , thấy được điểm lun ) ) ) ) ) thái_độ phục_vụ khách_hàng cũng tốt nữa , chỉ là chờ đồ uống hơi lâu chút_xíu . bạn gọi bạc xỉu ( ) cafe cốt dừa ( ) . bản_thân thấy bạc xỉu ngon hơn nơi khác , cũng có sữa nhưng vẫn để lại vị đắng đặc_trưng . còn cafe cốt dừa thì hơi ngọt quá nhưng bạn mê lắm ) ) ) ) giá_cả thì cũng không quá đắt . chắc_chắn sẽ quay lại nhiều lần . à bởi_vì sắp sang mùa đông nên thấy là đỉnh nhất ) ) ) ) cảm_giác như kiểu tìm được chốn yên_bình ồn_ào , vội_vã ."
4369,"hay ăn phố đi bộ nhưng_mà k được nóng_hổi như . a chủ rất nhiệt_tình , hộp đựng bánh trông đẹp_mắt , bánh vỏ vừa giòn lại vừa nóng , nhân có thịt , trứng , nấm an rất ngon mua hộp hết 42k"
4370,"tầm có qua vin pnt kiếm chỗ ăn trưa , loạt hỏi quán đều nghỉ r , mới đi qua nốt hutong hỏi thử , b vẫn nhận khách , thấy còn bàn khác cũng đang ăn . bàn gọi đồ , xong chả thấy nhân_viên ra cầm order luôn , lại lóc_cóc mang tờ order quầy b , đồ ra khá nhanh , chắc b ra đồ đi ăn trưa , nhưng trở đi là k b ra care khách luôn , b túm_tụm quanh góc ăn , r thì họp nhóm trao_đổi rất là rôm_rả , may có bàn thanh_toán cạnh mới có b nhân_viên chạy ra gọi thêm đồ , order đưa b kb có đọc k mà ra chả đúng , gọi bò thì ra toàn thịt nạc , xong gọi tráng_miệng bánh_bao thì chờ tiếng k thấy : ( ( ( quá chán luôn . xong thanh_toán đưa thẻ thì quẹt bảo thấy thông_tin xác_nhận r nhưng hôm trước ăn_ở shogun b thu_ngân bảo thẻ đã thu_hồi r nên mới bảo b in bill ra thì chả thấy thông_tin khách . b cứ quẹt qua_loa làm_ăn chả cẩn_thận , xong lần sau nếu k care được khách thì đừng có nhận bàn nữa , khách đỡ bực_mình , ai_đời đi ăn buffet gọi được lượt đồ r đi về , xong ra lần là có_vẻ giống order . đồ_ăn thì tươi ngon nhưng_mà phục_vụ quá chán : ( ("
4371,đã ăn thử thất rất hài_lòng bánh mỳ kebab cơm kebab . chủ có_vẻ rất hăng_say tận_tâm công_việc . ❤️❤️❤️
4372,"từng là khách quen quán , đồ_ăn rất ổn , quản_lý quán cực_kỳ chuyên_nghiệp . đầu năm k ăn lại từ_dịch covid hạn_chế đi ăn hàng . hôm_nay quay lại ăn thì món ăn chán vô_cùng , đặc_biệt pad thái ăn đúng vị phở xào * * * buồn hơn là thái_độ nhân_viên không chuyên_nghiệp . khách vừa đến đã chỉ : “ anh_chị ngồi gọi đồ luôn đi . ok bỏ_qua hôm_nay đang yêu_đời . lúc 2h kém , 2h15 đã được nhân_viên nhắc_nhở : “ anh_chị ăn nhanh e đóng_cửa ” . may quá k ăn lẩu chứ k chắc bỏ ăn kịp . nghi_vấn chắc quán đổi chủ chứ tự_nhiên khác trời vực được ! ! !"
4373,"quán không_gian nhỏ , đến bên trong hết chỗ p ngồi vỉa_hè , mà vỉa_hè toàn xe_máy ý : ( ( ăn_ở quán rẻ hơn ship cá_nhân thấy hơi ít , đc sốt khá đậm ăn_ở quán mà vân p dùng hộp xốp đũa dùng lần"
4374,"quán vị_trí quá chuẩn miễn bàn rồi , dễ tìm lại trung_tâm ! quán có tầng phòng máy_lạnh mát_mẻ nhưng cảm_giác hơi bí bí . đồ_ăn rất rất rất tươi người . đúng nghĩa_là tươi luôn . đã ăn lần menu hải_sản gà , bò cảm_thấy hài_lòng chất_lượng đồ_ăn giá_cả cũng vừa ổn ( không đắt cũng ko hẳn rẻ ) điểm trừ là nhà_vệ_sinh . mùi khó_chịu tuy không bẩn không_gian quá bí không thoát được mùi .  nên thử cảm_giác ăn lẩu kiểu mới khá tốt sức_khoẻ mn ! ! ! !"
4375,có_lẽ đã kì_vọng hơi quá . thấy đồ_ăn k đặc_sắc như mn hưởng_ứng . gà không ngon . đĩa đc phục_vụ cảm_giác k phải là làm tươi
